,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,fax,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid
46,D02 VY79,Consumer Cyclical,155000.0,"Aptiv PLC designs, manufacturers, and sells vehicle components worldwide. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates in two segment, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle's electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. The Advanced Safety and User Experience segment provides critical components, systems integration, and software development for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, and autonomous driving technologies. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was founded in 2011 and is based in Dublin, Ireland.",Dublin,353 1 259 7013,,Ireland,[],https://www.aptiv.com,1,5 Hanover Quay,Auto Parts,0.11229,0.02214,0.14285,999000000,0.263,0.06789,1907000064,77.0,buy,2438000000,107000000,120.5,104.08,2.303,2.66,0.038310003,22,118.32,80.814,0.04301,159.0,4849999872,6773000192,16983000064,17.9,USD,62.716,2.071,2.1,NYQ,Aptiv PLC,Aptiv PLC,America/New_York,EST,False,-18000000,EQUITY,APTV,finmb_59502420,us_market,,1.785,,15.894,-0.25598687,,4.7,,270950016,,,,30.247,4318642,0.0159,,1640908800,0.98600996,313000000,1.18,0.22,-0.09920794,3.4410026,0.00401,1672444800,,1664496000,2.17,1669766400,269375362,2.016393,30309431296,2,,1512432000,1193:1000,,1580774400,,1.98,1.6605122,1672358400,0.94,,22.144682,,0.0179,3885735,0,,,101.1,101.51,97.5513,0.0,0.0,,104.28,,1644220,101.1,100.005,0.0,101.51,,1644220,,,,1580774400,,,100.97,USD,88.20339,1890739,,,,28200478720,,,1868752,100.97,106.53,1100,1890739,147.05,,,77.96,101.83,False,,800,104.28,,104.08,,https://logo.clearbit.com/aptiv.com,0.942,Grand Canal Dock,,,,,
47,HM 08,Financial Services,5200.0,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability and workers' compensation exposures; marine and aviation; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was incorporated in 1995 and is based in Pembroke, Bermuda.",Pembroke,,,Bermuda,[],https://www.archgroup.com,1,Waterloo House,Insurance—Diversified,0.14438,0.14008,0.27973,3633721088,0.136,0.13155,1278627968,65.0,buy,3361999000,1392649472,70.0,62.46,-0.981,1.915,0.01598,10,69.7,23.087,0.09867,75.0,2783054080,2725153024,8855909376,3.773,USD,23.808,0.897,1.9,NMS,Arch Capital Group Ltd.,Arch Capital Group Ltd.,America/New_York,EST,False,-18000000,EQUITY,ACGL,finmb_346919,us_market,,5.291,,36.646,0.36673963,,5.61,,369872992,,,,29.857,8257977,0.0223,,1640908800,0.92250997,1199773952,3.07,,-0.09920794,2.0919716,0.03081,1672444800,,1664496000,4.17,1669766400,712808185,0.771538,46856331264,2,,1529539200,3:1,,,,-0.959,2.6086838,1672358400,0.76,,11.13369,,0.0232,10396270,0,,,63.39,63.39,50.0391,0.0,0.0,,63.47,,1549580,63.39,60.611,0.0,63.39,,1549580,,,,,,,61.85,USD,20.345278,1819043,,,,23102267392,,,3852660,61.85,62.43,900,1819043,64.37,,,41.05,62.41,False,,800,63.47,,62.46,,https://logo.clearbit.com/archgroup.com,,Ground Floor 100 Pitts Bay Road,441 278 9255,,,,
48,95054,Technology,2993.0,"Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company's cloud networking solutions consist of extensible operating systems, a set of network applications, as well as gigabit Ethernet switching and routing platforms. It also provides post contract customer support services, such as technical support, hardware repair and parts replacement beyond standard warranty, bug fix, patch, and upgrade services. The company serves a range of industries comprising internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, and others. It markets and sells its products through distributors, system integrators, value-added resellers, and original equipment manufacturer partners, as well as through its direct sales force. The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. Arista Networks, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California.",Santa Clara,408 547 5500,CA,United States,[],https://www.arista.com,1,5453 Great America Parkway,Computer Hardware,0.35154,0.29633,0.61824,677576000,0.572,0.33687,1381613952,118.2,buy,1880779000,476043360,155.0,115.13,0.614,4.01,0.14267999,19,158.96,1.763,0.28232,212.0,2980070912,77300000,3930216960,9.752,USD,12.81,2.894,2.2,NYQ,"Arista Networks, Inc.","Arista Networks, Inc.",America/New_York,EST,False,-18000000,EQUITY,ANET,finmb_33348547,us_market,,8.213,,23.362,-0.052583933,,5.48,,307300000,,,,14.354,3364584,0.011,,1640908800,0.68056,1164652032,2.91,,-0.09920794,8.020761,0.2338,1672444800,,1664496000,1.79,1669766400,235355085,1.279734,32277805056,2,,1637193600,4:1,,,,0.578,9.001907,1672358400,1.01,,21.009123,,0.0137,3210681,,,,111.51,111.89,115.75835,0.0,0.0,,115.32,,1959810,111.51,125.3186,0.0,111.89,,1959810,,,,,,,111.68,USD,39.563572,2111261,,,,35379449856,,,2281649,111.68,115.49,800,2111261,143.57,,,89.115,114.71,False,,1300,115.32,,115.13,,https://logo.clearbit.com/arista.com,0.9642,,408 538 8920,,,,
49,60008-4050,Financial Services,32061.0,"Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance brokerage, consulting, third-party claims settlement, and administration services in the United States, Australia, Bermuda, Canada, the Caribbean, New Zealand, India, and the United Kingdom. It operates through Brokerage and Risk Management segments. The Brokerage segment consists of retail and wholesale insurance brokerage operations; assists retail brokers and other non-affiliated brokers in the placement of specialized and hard-to-place insurance; acts as a brokerage wholesaler, managing general agent, and managing general underwriter for distributing specialized insurance coverage's to underwriting enterprises. This segment also performs activities, including marketing, underwriting, issuing policies, collecting premiums, appointing and supervising other agents, paying claims, and negotiating reinsurance; and offers brokerage and consulting services to businesses and organizations, including commercial, not-for-profit, and public entities, as well as individuals in the areas of insurance placement, risk of loss management, and management of employer sponsored benefit programs. The Risk Management segment provides contract claim settlement and administration services to enterprises and public entities; and claims management, loss control consulting, and insurance property appraisal services. The company offers its services through a network of correspondent insurance brokers and consultants. It serves commercial, industrial, public, religious, and not-for-profit entities. The company was incorporated in 1927 and is headquartered in Rolling Meadows, Illinois.",Rolling Meadows,630 773 3800,IL,United States,[],https://www.ajg.com,1,2850 Golf Road,Insurance Brokers,0.28007,0.13193,0.42671,2418800128,-0.05,0.20887,2309799936,160.0,buy,2942300000,1176824960,217.5,193.9,0.123,1.06,0.03283,14,211.14,75.9,0.12882,225.0,553699968,6549499904,8247300096,2.626,USD,39.376,0.814,1.9,NYQ,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,America/New_York,EST,False,-18000000,EQUITY,AJG,finmb_252186,us_market,,5.691,,20.319,0.24064243,,8.73,,210840000,,,,40.665,1168699,0.0055,,1640908800,0.87273,1088099968,5.06,0.51,-0.09920794,4.768228,0.00945,1672444800,,1664496000,1.5,1669766400,208419557,0.69271,46932975616,2,,979862400,2:1,,1669852800,,0.136,4.9570007,1672358400,2.41,,22.210768,,0.0063,1415348,0,,,190.89,191.93,177.9119,0.010529624,0.39720002,,194.22,,630990,190.89,192.2334,2.01,191.93,,630990,,,2.04,1669852800,,,190.05,USD,38.320156,769218,,,,40881872896,,,789422,190.05,197.53,1100,769218,201.51,,1.68,147.32,189.94,False,0.0105,1000,194.22,,193.9,,https://logo.clearbit.com/ajg.com,,,,,,,
50,10006,Financial Services,15600.0,"Assurant, Inc., together with its subsidiaries, provides lifestyle and housing solutions that support, protect, and connect consumer purchases in North America, Latin America, Europe, and the Asia Pacific. The company operates through two segments: Global Lifestyle and Global Housing. The Global Lifestyle segment offers mobile device solutions, and extended service products and related services for mobile devices, consumer electronics, and appliances; vehicle protection and related services; and credit protection and other insurance products. The Global Housing segment provides lender-placed homeowners insurance, manufactured housing, and flood insurance; and renters insurance and related products, as well as voluntary manufactured housing insurance, voluntary homeowners insurance, and other specialty products. The company was formerly known as Fortis, Inc. and changed its name to Assurant, Inc. in February 2004. Assurant, Inc. was founded in 1892 and is headquartered in New York, New York.",New York,212 859 7000,NY,United States,[],https://www.assurant.com,1,55 Broadway,Insurance—Specialty,0.07116,0.03361,0.07714,574499968,-0.034,0.052789997,719800000,133.0,buy,1161700000,1497162496,168.0,128.91,-0.991,0.436,0.009980001,5,159.4,51.948,0.06971,175.0,1696600064,2129299968,10115099648,32.113,USD,182.801,0.149,2.0,NYQ,"Assurant, Inc.","Assurant, Inc.",America/New_York,EST,False,-18000000,EQUITY,AIZ,finmb_4026111,us_market,,0.716,,10.063,-0.13830215,,12.26,,52831400,,,,77.496,935977,0.0177,,1640908800,0.99022,343100000,6.11,0.7,-0.09920794,1.6634407,0.00944,1672444800,,1664496000,1.71,1669766400,52300473,0.534705,7243199488,2,,,,,1669334400,,-0.992,0.67329997,1672358400,0.68,,10.514682,,0.023599999,876486,0,,,125.86,126.35,156.7873,0.021611314,0.4452,,128.97,,449410,125.86,126.5084,2.72,126.35,,449410,,,2.8,1669334400,,,125.18,USD,21.0982,382617,,,,6810496000,,,594750,125.18,129.0,800,382617,194.12,,2.01,119.01,128.61,False,0.0217,900,128.97,,128.91,,https://logo.clearbit.com/assurant.com,,Suite 2901,,,,,
51,75202,Communication Services,169880.0,"AT&T Inc. provides telecommunications, media, and technology services worldwide. Its Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, and carrying cases and hands-free devices through its own company-owned stores, agents, and third-party retail stores. It also provides data, voice, security, cloud solutions, outsourcing, and managed and professional services, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband fiber and legacy telephony voice communication services to residential customers. It markets its communications services and products under the AT&T, Cricket, AT&T PREPAID, and AT&T Fiber brand names. The company's Latin America segment provides wireless services in Mexico; and video services in Latin America. This segment markets its services and products under the AT&T and Unefon brand names. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas.",Dallas,210 821 4105,TX,United States,[],https://www.att.com,1,208 South Akard Street,Telecom Services,0.34127998,0.129,0.54351,32963999744,-0.041,0.21305999,53006999552,9.0,hold,89057000000,23180750848,20.0,19.23,-0.001,0.618,0.04249,23,20.54,114.729,0.119219996,28.0,2494000128,160595001344,155318992896,0.35,USD,21.664,0.335,2.6,NYQ,AT&T Inc.,AT&T Inc.,America/New_York,EST,False,-18000000,EQUITY,T,finmb_100231,us_market,,2.013,,5.9,-0.03338951,,2.56,,7127000064,,,,17.177,81261636,0.0114,,1640908800,0.54412997,17496999936,2.42,0.278,-0.09920794,1.1195203,0.00139,1672444800,,1664496000,2.02,1669766400,7116238230,0.732124,312725209088,2,,1649635200,1324:1000,,1673222400,,0.018,0.8823918,1672358400,-1.52,,7.5117188,,0.0114,87173466,0,,,18.94,18.96,18.710844,0.071436115,0.5589,,19.23,,36290420,18.94,18.9014,1.353,18.96,,36290420,,,1.11,1673222400,,,18.77,USD,7.9462805,37836624,,,,137052209152,,,40281429,18.77,19.22,1400,37836624,21.53,,7.0,14.46,19.18,False,0.0577,21500,19.23,,19.23,,https://logo.clearbit.com/att.com,4.6193,,,,,,
52,75240,Utilities,4791.0,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates through two segments, Distribution, and Pipeline and Storage. The Distribution segment is involved in the regulated natural gas distribution and related sales operations in eight states. This segment distributes natural gas to approximately 3.3 million residential, commercial, public authority, and industrial customers. As of September 30, 2022, it owned 73,243 miles of underground distribution and transmission mains. The Pipeline and Storage segment engages in the pipeline and storage operations. This segment transports natural gas for third parties and manages five underground storage reservoirs in Texas; and provides ancillary services customary to the pipeline industry, including parking arrangements, lending, and inventory sales. As of September 30, 2022, it owned 5,652 miles of gas transmission lines. Atmos Energy Corporation was founded in 1906 and is headquartered in Dallas, Texas.",Dallas,972 934 9227,TX,United States,[],https://www.atmosenergy.com,1,1800 Three Lincoln Centre,Utilities—Regulated Gas,0.34867,0.18431,0.43050998,977584000,0.271,0.22118,1464973952,107.0,buy,1808845000,-1541143552,124.5,113.0,0.381,0.846,0.02779,6,122.67,88.862,0.08939,132.0,51554000,8370016256,4201661952,0.366,USD,30.484,0.119,2.3,NYQ,Atmos Energy Corporation,Atmos Energy Corporation,America/New_York,EST,False,-18000000,EQUITY,ATO,finmb_252684,us_market,,5.769,,16.547,0.10437846,,6.44,,141016000,,,,66.851,7349365,0.0521,,1664496000,0.93648005,773889984,5.6,0.74,-0.09920794,1.6903263,0.00369,1696032000,,1664496000,6.98,1669766400,130459843,0.604464,24240226304,2,,769132800,3:2,,1669334400,,0.471,3.7925012,1672358400,2.29,,17.546583,,0.0592,7016876,0,,,112.04,112.5,112.9749,0.024277044,0.4857,,113.07,,690720,112.04,114.4964,2.72,112.5,,690720,,,2.96,1669334400,,,110.85,USD,20.178572,557710,,,,15934808064,,,892178,110.85,114.21,900,557710,122.96,,2.26,97.71,112.79,False,0.026199998,800,113.07,,113.0,,https://logo.clearbit.com/atmosenergy.com,,5430 LBJ Freeway,,,,,
53,94903,Technology,12600.0,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Rafael, California.",San Rafael,415 507 5000,CA,United States,[],https://www.autodesk.com,1,111 McInnis Parkway,Software—Application,0.21131,0.12637,0.9163,1882300032,0.137,0.19733,1035100032,180.0,buy,4021400000,1354749952,225.0,205.9,0.468,0.732,0.07039,25,228.26,334.989,0.56636,325.0,1804000000,3035000064,4898400256,8.361,USD,22.527,0.642,2.1,NMS,"Autodesk, Inc.","Autodesk, Inc.",America/New_York,EST,False,-18000000,EQUITY,ADSK,finmb_119902,us_market,,9.321,,44.109,-0.16079068,,7.29,,215767008,,,,4.194,2455755,0.0114,,1643587200,0.9605,619000000,2.97,0.015,-0.09920794,49.093945,0.00261,1675123200,,1667174400,1.65,1669766400,215437370,1.466689,45657526272,2,,1103587200,2:1,,1111449600,,0.445,9.069578,1672358400,1.46,,28.24417,,0.0114,2441547,0,,,196.05,198.24,197.97765,0.0,0.0,,206.73,,1172190,196.05,198.9026,0.0,198.24,,1172190,,,,1111449600,,,198.2,USD,69.3266,1248440,,,,44426424320,,,1571427,198.2,207.5,800,1248440,252.34,,,163.2,197.35,False,,900,206.73,,205.9,,https://logo.clearbit.com/autodesk.com,1.1248,,,,,,
54,38103,Consumer Cyclical,69440.0,"AutoZone, Inc. retails and distributes automotive replacement parts and accessories. The company offers various products for cars, sport utility vehicles, vans, and light trucks, including new and remanufactured automotive hard parts, maintenance items, accessories, and non-automotive products. Its products include A/C compressors, batteries and accessories, bearings, belts and hoses, calipers, chassis, clutches, CV axles, engines, fuel pumps, fuses, ignition and lighting products, mufflers, radiators, starters and alternators, thermostats, and water pumps, as well as tire repairs. In addition, the company offers maintenance products, such as antifreeze and windshield washer fluids; brake drums, rotors, shoes, and pads; brake and power steering fluids, and oil and fuel additives; oil and transmission fluids; oil, cabin, air, fuel, and transmission filters; oxygen sensors; paints and accessories; refrigerants and accessories; shock absorbers and struts; spark plugs and wires; and windshield wipers. Further, it provides air fresheners, cell phone accessories, drinks and snacks, floor mats and seat covers, interior and exterior accessories, mirrors, performance products, protectants and cleaners, sealants and adhesives, steering wheel covers, stereos and radios, tools, and wash and wax products, as well as towing services. Additionally, the company provides a sales program that offers commercial credit and delivery of parts and other products; sells automotive diagnostic and repair software under the ALLDATA brand through alldata.com; and automotive hard parts, maintenance items, accessories, and non-automotive products through autozone.com. As of August 27, 2022, it operated 6,168 stores in the United States; 703 stores in Mexico; and 72 stores in Brazil. The company was founded in 1979 and is based in Memphis, Tennessee.",Memphis,901 495 6500,TN,United States,[],https://www.autozone.com,1,123 South Front Street,Specialty Retail,0.22278,0.14568,0.51557,3226791936,0.086,0.19551,3691162880,1850.0,buy,8472650000,1879501056,2675.0,2326.61,0.069,0.762,0.13598,20,2632.2,,,2850.0,321588992,9438443520,16568392704,17.137,USD,844.82,0.095,2.0,NYQ,"AutoZone, Inc.","AutoZone, Inc.",America/New_York,EST,False,-18000000,EQUITY,AZO,finmb_25307,us_market,,3.185,,14.298,0.17974472,,143.65,,18765700,,,,-204.177,328739,0.0175,,1661558400,0.96457,2413687040,118.9,,-0.09920794,,0.00366,1693094400,,1668816000,2.12,1669766400,18698302,0.752703,52777250816,2,,766886400,2:1,,,,-0.029,2.6351662,1672358400,1.62,,16.19638,,0.0176,401783,0,,,2327.54,2329.99,2231.9062,0.0,0.0,,2333.99,,134530,2327.54,2446.712,0.0,2329.99,,134530,,,,,,,2300.0,USD,19.56779,143503,,,,43660468224,,,145529,2300.0,2378.26,1000,143503,2610.05,,,1703.32,2233.26,False,,800,2333.99,,2326.61,,https://logo.clearbit.com/autozone.com,,,,,,,
55,22203,Real Estate,2839.0,"As of December 31, 2020, the Company owned or held a direct or indirect ownership interest in 291 apartment communities containing 86,025 apartment homes in 11 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion markets consisting of Southeast Florida and Denver, Colorado (the ""Expansion Markets"").",Arlington,703-329-6300,VA,United States,[],https://www.avalonbay.com,1,4040 Wilson Boulevard,REIT—Residential,0.61624,0.48189,0.64499,1371868032,0.207,0.30111998,1573795968,160.0,hold,1455149000,1020451264,185.0,170.35,5.258,1.131,0.024249999,22,186.91,72.975,0.11184,282.0,230323008,8183009792,2553867008,1.649,USD,18.295,0.327,2.8,NYQ,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",America/New_York,EST,False,-18000000,EQUITY,AVB,finmb_329141,us_market,,12.434,,20.178,-0.2913599,,5.65,,139896992,,,,80.277,2275459,0.0163,,1640908800,0.94249,1228371968,8.8,1.59,-0.09920794,2.1220276,0.00322,1672444800,,1664496000,2.92,1669766400,139239917,0.915591,31755816960,2,,,,,1672272000,,5.269,9.331517,1672358400,-2.25,,30.150442,,0.0223,2178999,0,,,168.7,168.73,193.59995,0.03770006,0.72269994,,170.57,,925020,168.7,166.878,6.36,168.73,,925020,,,6.36,1672272000,,,166.96,USD,19.357954,1527901,,,,23831453696,,,879575,166.96,170.91,800,1527901,259.05,,3.26,157.69,164.0,False,0.0373,800,170.57,,170.35,,https://logo.clearbit.com/avalonbay.com,1.43,Suite 1000,,,,,
56,44060,Industrials,35570.0,"Avery Dennison Corporation manufactures and markets pressure-sensitive materials and products in the United States, Europe, Asia, Latin America, and internationally. The company's Label and Graphic Materials segment offers pressure-sensitive label and packaging materials under the Fasson, JAC, and Avery Dennison brands; graphics products under the Avery Dennison and Mactac brands; and reflective products under the Avery Dennison brand. This segment provides its products to the home and personal care, beer and beverage, durables, pharmaceutical, wine and spirits, and food market segments; architectural, commercial sign, digital printing, and other related market segments; construction, automotive, and fleet transportation market segments; traffic and safety applications; and sign shops, commercial printers, and designers. The company's Retail Branding and Information Solutions segment offers brand embellishments, graphic tickets, tags and labels, and sustainable packaging solutions, as well as creative services; radio-frequency identification, visibility and loss prevention, brand protection and security, shelf-edge, and price ticketing and marking solutions; and care, content, and country of origin compliance solutions. It serves retailers, brand owners, apparel manufacturers, distributors, and industrial customers. The company's Industrial and Healthcare Materials segment provides tapes and other pressure-sensitive adhesive-based materials and converted products, mechanical fasteners, and performance polymers under the Fasson and Avery Dennison brands; and tapes under the Yongle brand for wire harnessing and cable wrapping. It serves automotive, electronics, building and construction, electrical, general industrial, personal care, and medical markets. The company was formerly known as Avery International Corporation and changed its name to Avery Dennison Corporation in 1990. Avery Dennison Corporation was founded in 1935 and is headquartered in Mentor, Ohio.",Mentor,440-534-6000,OH,United States,[],https://www.averydennison.com,1,8080 Norton Parkway,Business Equipment & Supplies,0.15022,0.08883,0.27065,899200000,0.118,0.12198,1381500032,185.0,buy,2312800000,469824992,202.0,190.49,0.378,1.008,0.08758,11,205.0,156.07,0.42921,241.0,158000000,3132800000,9196600320,1.951,USD,112.154,0.593,2.0,NYQ,Avery Dennison Corporation,Avery Dennison Corporation,America/New_York,EST,False,-18000000,EQUITY,AVY,finmb_252978,us_market,,2.001,,13.318,-0.049308777,,10.2,,80969000,,,,24.745,1594485,0.0197,,1640995200,0.93230003,816899968,9.89,0.75,-0.09920794,7.6981206,0.0064,1672531200,,1664582400,3.22,1669766400,80398182,0.990582,18398586880,2,,851299200,2:1,,1670284800,,0.35,1.6771181,1672358400,2.65,,18.675491,,0.0225,1320038,0,,,186.14,186.84,177.6943,0.015364778,0.2892,,190.55,,367600,186.14,185.5946,2.86,186.84,,367600,,,3.0,1670284800,,,186.37,USD,19.26087,443324,,,,15423784960,,,522365,186.37,194.97,900,443324,209.92,,1.67,151.62,179.59,False,0.015700001,1000,190.55,,190.49,,https://logo.clearbit.com/averydennison.com,2.4467,,,,,,
57,77073-5101,Energy,55000.0,"Baker Hughes Company provides a portfolio of technologies and services to energy and industrial value chain worldwide. It operates through two segments: Oilfield Services & Equipment and Industrial & Energy Technology. The company offers exploration, drilling, wireline, evaluation, completion, production, and intervention services; and drilling and completions fluids, wireline services, downhole completion tools and systems, wellbore intervention tools and services, pressure pumping systems, oilfield and industrial chemicals, and artificial lift technologies for oil and natural gas, and oilfield service companies. It also provides subsea and surface wellheads, pressure control and production systems and services, flexible pipe systems for offshore and onshore applications, and life-of-field solutions, including well intervention and decommissioning solutions; and services related to onshore and offshore drilling and production operations. In addition, the company offers equipment and related services for mechanical-drive, compression, and power-generation applications across the oil and gas industry. Its product portfolio includes drivers, compressors, and turnkey solutions; and pumps, valves, and compressed natural gas and small-scale liquefied natural gas solutions. Further, the company provides sensor-based process measurements, machine health and condition monitoring, asset strategy and management, control systems, as well as non-destructive testing and inspection, and pipeline integrity solutions. Baker Hughes Company serves upstream, midstream, downstream, onshore, offshore, and industrial customers. The company was formerly known as Baker Hughes, a GE company and changed its name to Baker Hughes Company in October 2019. Baker Hughes Company is based in Houston, Texas.",Houston,713 439 8600,TX,United States,[],https://www.bakerhughes.com,1,17021 Aldine Westfield Road,Oil & Gas Equipment & Services,0.13295999,-0.023629999,0.20732,1764000000,0.054,0.08092,2756999936,29.0,buy,4049000000,1235000064,34.5,31.07,,1.515,0.03043,22,34.33,46.321,-0.027390001,39.0,3700000000,6655000064,20736000000,3.695,USD,21.555,0.981,2.0,NMS,Baker Hughes Company,Baker Hughes Company,America/New_York,EST,False,-18000000,EQUITY,BKR,finmb_425005479,us_market,,1.654,,12.439,0.14776504,,1.65,,1001470016,,,,14.116,22625423,0.0226,,1640908800,1.04631,-490000000,0.4,0.19,-0.09920794,2.2010484,0.0014399999,1672444800,,1664496000,2.52,1669766400,955179719,1.4925,34293596160,2,,,,,1667520000,,,1.5110514,1672358400,0.72,,18.830303,,0.0253,18516463,7000000,,,30.49,30.35,28.7919,0.0236143,,,31.1589,,6330160,30.49,29.4328,0.72,30.35,,6330160,,,0.76,1667520000,,,30.14,USD,77.674995,10385148,,,,31333163008,,,7789501,30.14,31.3,2200,10385148,39.78,,3.12,20.42,31.18,False,0.0249,3200,31.1589,,31.07,,https://logo.clearbit.com/bakerhughes.com,,,,,,,
